validity,diversity,novelty_rate,mean_max_sim,acc_easy,acc_medium,acc_hard,acc_overall,config
1.0,0.5866666666666667,0.0,0.9980208333333334,0.98,1.0,0.98,0.9866666666666667,temp=0.8
1.0,0.82,0.02,0.9920238095238094,0.98,0.94,1.0,0.9733333333333334,temp=1.0
1.0,0.9066666666666666,0.02,0.9851934523809522,0.98,0.86,0.96,0.9333333333333333,temp=1.2
1.0,0.98,0.17333333333333334,0.9441369047619045,0.84,0.72,0.96,0.84,temp=1.5
1.0,0.86,0.02,0.9914136904761908,1.0,0.92,1.0,0.9733333333333334,top-k=5
1.0,0.8533333333333334,0.006666666666666667,0.9893154761904759,0.96,0.84,1.0,0.9333333333333333,top-k=10
1.0,0.86,0.0,0.9921279761904767,0.96,0.9,1.0,0.9533333333333334,top-k=20
1.0,0.88,0.013333333333333334,0.9920386904761905,1.0,0.92,1.0,0.9733333333333334,top-k=50
1.0,0.08666666666666667,0.0,0.9993601190476191,1.0,1.0,1.0,1.0,top-p=0.80
1.0,0.19333333333333333,0.0,0.998779761904762,1.0,1.0,0.94,0.98,top-p=0.90
1.0,0.3933333333333333,0.0,0.9992410714285714,1.0,1.0,0.98,0.9933333333333333,top-p=0.95
1.0,0.78,0.0,0.9970982142857142,1.0,0.94,0.98,0.9733333333333334,top-p=0.99
